Class_ID,Class_Name,N_Trials,N_Neurons,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var
1,Divergent,35,513,11.748290029020366,18.52128872290022,19.0
2,Convergent,35,513,14.611765291931233,21.159392892040014,21.0
3,Random,35,513,8.81395092781155,16.12077009197671,19.0
