strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,13133,0.08210899074084335,6.252112292762e-06,0.009060961702040784
2,13133,0.08585201632059605,6.537121474194476e-06,0.040675194984642934
3,13133,0.09034027764494582,6.8788759342835465e-06,0.058794107925728215
4,13133,0.09249436242847009,7.0428967051298325e-06,0.0741464561134648
5,13132,0.09636799703912305,7.338409765391642e-06,0.08901888076957565
6,13133,0.09844553996368184,7.496043551639522e-06,0.10419574514483357
7,13133,0.10156303685486884,7.733422436219359e-06,0.12087068626095784
8,13133,0.10628624882036761,8.09306699309888e-06,0.14073136065554678
9,13133,0.1114139919691574,8.483514198519562e-06,0.16837469094879307
10,13132,0.13512753821793977,1.028994351339779e-05,0.25783386086220095
