Time(s),Accuracy,Baseline,Accuracy_STD
-2.5,0.4611111111111111,0.3833333333333334,0.046481112585226414
-2.25,0.5166666666666666,0.3277777777777778,0.03167153958608718
-2.0,0.48888888888888893,0.3111111111111111,0.0504608392349582
-1.75,0.4666666666666667,0.3722222222222222,0.08425417160057279
-1.5,0.5,0.3888888888888889,0.04392052305789418
-1.25,0.5166666666666667,0.4,0.11553685746158567
-1.0,0.5333333333333334,0.33333333333333337,0.08193267335418127
-0.75,0.5111111111111111,0.33333333333333337,0.08240220541217405
-0.5,0.538888888888889,0.34444444444444444,0.0847108371220939
-0.25,0.5222222222222223,0.3055555555555555,0.05343162239353154
0.0,0.8333333333333333,0.36666666666666664,0.0785674201318386
0.25,0.9333333333333332,0.3555555555555555,0.06394924685122966
0.5,0.9555555555555555,0.34444444444444444,0.042127085800286415
0.75,0.9722222222222223,0.32222222222222224,0.019641855032959663
1.0,0.9666666666666666,0.3555555555555555,0.030429030972509243
1.25,0.9833333333333334,0.3777777777777778,0.024845199749997673
1.5,0.9944444444444445,0.3722222222222221,0.012422599874998837
1.75,0.9944444444444445,0.3666666666666667,0.012422599874998837
2.0,0.9944444444444445,0.3277777777777778,0.012422599874998837
2.25,1.0,0.3888888888888889,0.0
2.5,1.0,0.37777777777777777,0.0
2.75,1.0,0.42777777777777776,0.0
3.0,0.9888888888888889,0.42222222222222217,0.024845199749997673
3.25,0.9777777777777779,0.43888888888888894,0.02324055629261322
3.5,0.9944444444444445,0.43888888888888894,0.012422599874998837
3.75,0.9722222222222221,0.39999999999999997,0.048112522432468836
4.0,0.9888888888888889,0.3944444444444445,0.024845199749997673
4.25,0.9833333333333334,0.38888888888888884,0.024845199749997673
4.5,0.9833333333333334,0.37777777777777777,0.024845199749997673
4.75,0.9833333333333334,0.39444444444444443,0.015214515486254623
5.0,0.9777777777777779,0.3944444444444445,0.02324055629261322
5.25,0.9833333333333334,0.4222222222222222,0.015214515486254621
5.5,0.9666666666666668,0.40555555555555556,0.030429030972509243
5.75,0.9666666666666668,0.4222222222222222,0.030429030972509243
6.0,0.961111111111111,0.41666666666666663,0.04648111258522644
6.25,0.961111111111111,0.42777777777777776,0.04212708580028641
6.5,0.9388888888888889,0.3777777777777778,0.04969039949999535
6.75,0.9222222222222222,0.36666666666666664,0.045643546458763826
7.0,0.8944444444444443,0.43888888888888894,0.03621779114001468
7.25,0.9055555555555557,0.45,0.037267799624996475
7.5,0.9,0.43888888888888883,0.050460839234958164
7.75,0.8777777777777777,0.4222222222222222,0.04212708580028635
8.0,0.85,0.43888888888888894,0.05414885747116088
8.25,0.8111111111111111,0.43888888888888883,0.06631853547951845
8.5,0.7166666666666667,0.4444444444444445,0.036217791140014735
8.75,0.6888888888888889,0.4222222222222222,0.04120110270608704
9.0,0.6888888888888889,0.41111111111111115,0.04564354645876382
9.25,0.6611111111111111,0.4444444444444445,0.05343162239353151
9.5,0.6222222222222221,0.42777777777777776,0.057601225981465866
9.75,0.5555555555555556,0.4333333333333334,0.06514466333088095
