Class_ID,Class_Name,Mean_Signal_Corr,Mean_Noise_Corr,Mean_Abs_Signal_Corr,Mean_Abs_Noise_Corr,Signal_Noise_Coupling_r
1,Divergent,0.7847778624565781,0.09825574769547823,0.7855317537244626,0.14995903883715547,0.14676930847387298
2,Convergent,0.7990379952540084,0.08321055243776863,0.7990386501005617,0.1536178250879386,0.15927352648724166
3,Random,0.5886642295906025,0.05578340700980786,0.5949557526358807,0.1640303980921113,0.14419634361254613
