repeat_idx,accuracy_mean
0,0.3333333333333333
1,0.3333333333333333
2,0.3238095238095238
3,0.3238095238095238
4,0.36190476190476195
5,0.3523809523809524
6,0.36190476190476195
7,0.27619047619047615
8,0.3333333333333333
9,0.3238095238095238
10,0.3428571428571428
11,0.3333333333333333
12,0.3333333333333333
13,0.3333333333333333
14,0.36190476190476195
15,0.30476190476190473
16,0.2857142857142857
17,0.29523809523809524
18,0.3523809523809524
19,0.3142857142857143
20,0.3333333333333333
21,0.3333333333333333
22,0.3238095238095238
23,0.3333333333333333
24,0.3238095238095238
25,0.3428571428571428
26,0.3428571428571428
27,0.3428571428571428
28,0.3238095238095238
29,0.3428571428571428
