component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
1,0.9238095238095237,0.016495721976846456,0.7047619047619048,0.0719031850978167,0.21904761904761894,1.0,0.05211853624195315
4,0.9238095238095237,0.016495721976846456,0.8190476190476191,0.10033955955097845,0.10476190476190461,1.0,0.04749695382224803
9,0.9238095238095237,0.016495721976846456,0.8380952380952381,0.10033955955097844,0.08571428571428563,0.96,0.03409838567449096
18,0.9238095238095237,0.016495721976846456,0.8571428571428571,0.057142857142857106,0.06666666666666665,1.0,0.03294987063017235
2,0.9238095238095237,0.016495721976846456,0.8857142857142858,0.057142857142857106,0.03809523809523796,0.88,0.028853177323447218
5,0.9238095238095237,0.016495721976846456,0.8952380952380952,0.016495721976846456,0.02857142857142858,1.0,0.034694587277542654
24,0.9238095238095237,0.016495721976846456,0.9047619047619047,0.016495721976846456,0.01904761904761909,0.64,0.02572839865255015
12,0.9238095238095237,0.016495721976846456,0.9047619047619047,0.016495721976846456,0.01904761904761909,0.76,0.025990321350499227
6,0.9238095238095237,0.016495721976846456,0.9142857142857143,0.02857142857142858,0.00952380952380949,1.0,0.030987392483250716
3,0.9238095238095237,0.016495721976846456,0.9142857142857143,0.02857142857142858,0.00952380952380949,0.36,0.02298921246083517
