class_id,relation,spearman_rho,spearman_p,linear_r,linear_p,linear_slope,linear_intercept,linear_stderr
1,abs_corr_vs_distance,-0.21422502560126824,0.0,-0.24524868054253685,0.0,-8.258338525193248e-05,0.22625734232593053,6.363489354954844e-07
1,abs_corr_vs_activity_diff,-0.14756644683373518,0.0,-0.1569846298513171,0.0,-0.3999464454949795,0.20006306708033322,0.004904622472365317
2,abs_corr_vs_distance,-0.2208617201334722,0.0,-0.2459266472609818,0.0,-8.524979210568551e-05,0.22872003528488732,6.549680394177844e-07
2,abs_corr_vs_activity_diff,-0.11100261451860342,0.0,-0.10465828644816043,0.0,-0.24696941698993483,0.19684400086371293,0.004574643735794219
3,abs_corr_vs_distance,-0.1365256912353176,0.0,-0.161859196736258,0.0,-5.58979076857516e-05,0.22220171153961055,6.643129945978715e-07
3,abs_corr_vs_activity_diff,-0.07401275934645496,0.0,-0.06625802476668198,8.591829975265559e-254,-0.15482427526013537,0.20072388632140137,0.004544901787656758
