class_id,near_mean_abs_corr,far_mean_abs_corr,delta_near_minus_far,welch_t,p_value,near_n,far_n
1,0.21680147125735852,0.16299967724335734,0.053801794014001175,105.53745244618341,0.0,65795,65794
2,0.2197684724271496,0.16340873770702594,0.05635973472012368,108.25053346053014,0.0,65795,65794
3,0.21800371061199408,0.1804123206261752,0.037591389985818874,71.28455139626321,0.0,65795,65794
