component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
2,0.46060606060606063,0.06385244698698626,0.45454545454545453,0.036363636363636376,0.0060606060606061,0.4,0.04205311039520195
31,0.46060606060606063,0.06385244698698626,0.45454545454545453,0.04810456929208345,0.0060606060606061,0.4,0.04070257202011771
17,0.46060606060606063,0.06385244698698626,0.4545454545454546,0.048104569292083454,0.006060606060606044,0.68,0.04936349091199122
3,0.46060606060606063,0.06385244698698626,0.46060606060606063,0.04198911048651822,0.0,0.84,0.05523571518303461
1,0.46060606060606063,0.06385244698698626,0.46060606060606063,0.08198635914223441,0.0,0.64,0.08555645035924893
21,0.46060606060606063,0.06385244698698626,0.46060606060606063,0.07348094335140691,0.0,0.76,0.05838788301888862
8,0.46060606060606063,0.06385244698698626,0.4666666666666666,0.06883525267636695,-0.006060606060605989,0.96,0.06688366215424177
18,0.46060606060606063,0.06385244698698626,0.47878787878787876,0.05844636824844214,-0.018181818181818132,0.8,0.053673085905654505
24,0.46060606060606063,0.06385244698698626,0.48484848484848486,0.06883525267636695,-0.024242424242424232,0.36,0.05082683282142386
26,0.46060606060606063,0.06385244698698626,0.4909090909090909,0.03149183286488866,-0.030303030303030276,0.52,0.0392431356542961
