neuron_local_idx,neuron_global_idx,membership_count,coarse_overlap,detail_overlap,rr_label_single,preferred_class,selectivity_index,decoder_importance,ablation_effect_proxy,ablation_drop_actual,is_important_neuron,resp_Divergent,resp_Convergent,resp_Random
0,0,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.06502546891739742,0.002516083853307378,0.002516083853307378,,0,0.05495292076750869,0.06158506150835406,0.053176820137058246
1,1,3,Shared_Core,Shared_Core,Shared_Core,Random,0.039341497685553097,0.002507232351423776,0.002507232351423776,,0,0.080741087154996,0.08878671655322982,0.0917065122418783
2,2,1,Condition_Biased,Biased_Divergent,Divergent,Convergent,0.06266554430126053,0.002541805164187829,0.002541805164187829,,0,0.047123863697252286,0.05856450278528784,0.05619091231263045
3,3,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.1837716186637031,0.0025598913959281704,0.0025598913959281704,,0,0.10236796921729961,0.08309115546080408,0.05807736133309928
4,4,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.1672882464916435,0.0025956353689943934,0.0025956353689943934,,0,0.10748922896962013,0.08543463320367867,0.06792516392853223
5,5,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.1697708120476592,0.0025602744725826336,0.0025602744725826336,,0,0.08372046782444882,0.1076510492219496,0.06908731684088706
6,6,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.15695093131990967,0.0026418334931598625,0.0026418334931598625,,0,0.15053748651858298,0.1900807392423746,0.12647925784642047
7,7,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.21998198837353067,0.0025444347767065644,0.0025444347767065644,,0,0.16223929420874644,0.23251251715713392,0.13508304831656542
8,8,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.25577909730693626,0.002569918306083377,0.002569918306083377,,0,0.12367270015660793,0.1919121416285634,0.10379569390506456
9,9,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.2380056177320414,0.0026791159534964573,0.0026791159534964573,,0,0.11725956057348559,0.18050827133277106,0.10494668265861092
10,10,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.15293223448107515,0.002539866933176892,0.002539866933176892,,0,0.06891570330637517,0.08905508292089931,0.061943141371011735
11,11,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.18857238472476257,0.0026942342239670556,0.0026942342239670556,,0,0.06403104479234385,0.09161857028477012,0.06106329351861143
12,12,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.04223618791938031,0.0025517369408615057,0.0025517369408615057,,0,0.0211557005582157,0.017983356520297037,0.02089874074074694
13,13,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.13675581014681137,0.002634518840272392,0.002634518840272392,,0,0.06484009332764613,0.07066196387525274,0.042480281398942075
14,14,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.09111360332392614,0.002824126046208349,0.002824126046208349,,0,0.05067171352559961,0.03722236391216043,0.04719566731629046
15,15,3,Shared_Core,Shared_Core,Shared_Core,Random,0.07834134374724078,0.0026028722333080448,0.0026028722333080448,,0,0.07708052206303805,0.07159053881174673,0.08697262835463114
16,16,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.08783216106705401,0.002476965528018712,0.002476965528018712,,0,0.031082327615329496,0.025458717721184253,0.02666752127874078
17,17,3,Shared_Core,Shared_Core,Shared_Core,Random,0.12010321238037053,0.002708092070878507,0.002708092070878507,,0,0.06074696541788878,0.06901289344021173,0.08259175211812059
18,18,3,Shared_Core,Shared_Core,Shared_Core,Random,0.11998783416776405,0.002727432136694721,0.002727432136694721,,0,0.04422404313389893,0.04584756508351318,0.057316881132128676
19,19,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.31862767426558286,0.002643124593605338,0.002643124593605338,,0,0.038606656685231194,0.06761388560244568,0.031269368797427775
20,20,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.4196423614025604,0.0025537382806578696,0.0025537382806578696,,0,0.024977802118707086,0.0627658684595079,0.026340265295496493
21,21,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.06672796138537695,0.0030383702728559144,0.0030383702728559144,-0.006060606060605989,1,0.1374560497020201,0.16683930800439267,0.15447678929477027
22,22,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.07898882307308971,0.002923839982089363,0.002923839982089363,,1,0.10789060001311604,0.1303714140067025,0.11467617154968056
23,23,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.14515747099541113,0.0027982215677377527,0.0027982215677377527,,0,0.06916268749578144,0.08602135849466162,0.059264568154784765
24,24,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.08487853004379346,0.002478409650926762,0.002478409650926762,,0,0.06600863884593691,0.0756424502740619,0.06160386037645918
25,25,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.08365060639830449,0.0026392454308628013,0.0026392454308628013,,0,0.03760317329477559,0.043264272290148904,0.03556651708980401
26,26,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.08593281577523648,0.002660848954523131,0.002660848954523131,,0,0.0496091130615202,0.049187272758760225,0.034328137456693435
27,27,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.161708968708094,0.0029081728019353472,0.0029081728019353472,,0,0.06378286544694214,0.07226332869607384,0.04050779937321997
28,28,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.04921233816939011,0.0027734681368408267,0.0027734681368408267,,0,0.04541043393621822,0.04221278298818679,0.04008834660053253
29,29,1,Condition_Biased,Biased_Divergent,Divergent,Convergent,0.1439982497199892,0.00300119907012188,0.00300119907012188,-0.024242424242424232,1,0.05926349259767762,0.06289387234639396,0.03485774373014768
30,30,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.08842863559278952,0.0027941421693583966,0.0027941421693583966,,0,0.041118583251391685,0.04323211927632136,0.03129620016411398
31,31,2,Shared_Core,Shared_Core,Shared_Core,Divergent,0.07823247815083317,0.002586268381408367,0.002586268381408367,,0,0.0638318358124384,0.06328224466630707,0.04585583882519242
32,32,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.00830772280000051,0.002933675687281647,0.002933675687281647,,1,0.05493752056512461,0.05602343002840551,0.055262970108764645
33,33,3,Shared_Core,Shared_Core,Shared_Core,Random,0.02686626391053378,0.0027983371658157692,0.0027983371658157692,,0,0.09989185602233935,0.09334652253953868,0.10195411199873144
34,34,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.22974531032430326,0.0026433802636574803,0.0026433802636574803,,0,0.04954893059367614,0.06883839271450169,0.03668533982426831
35,35,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.02520157501795652,0.002836185110464636,0.002836185110464636,,0,0.1208004196004201,0.10999639032694397,0.11972635226945082
36,36,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.18292681585372966,0.0027098977968768945,0.0027098977968768945,,0,0.04658249558340157,0.05658737539496056,0.031589757131807734
37,37,3,Shared_Core,Shared_Core,Shared_Core,Random,0.04704332752731951,0.002899673497472469,0.002899673497472469,,0,0.08321345501369046,0.07353755499596003,0.08611362082601497
38,38,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.11032832695284944,0.002763010399906073,0.002763010399906073,,0,0.05258123216129119,0.05445344347960104,0.034682480719956485
39,39,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.08917184092985775,0.0025558937263892296,0.0025558937263892296,,0,0.0659741432035482,0.06384336169828814,0.04649938706195716
40,40,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.10008939044270007,0.0026191117057540124,0.0026191117057540124,,0,0.0680659382894475,0.06354592330556698,0.04781459075483409
41,41,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.08556703927611731,0.0026567829125053897,0.0026567829125053897,,0,0.04062148043385116,0.03550728629269297,0.032928138288358846
42,42,1,Condition_Biased,Biased_Divergent,Divergent,Divergent,0.12988289615031776,0.002415251920385118,0.002415251920385118,,0,0.02803911568136305,0.023765972780960577,0.01941958957097747
43,43,2,Shared_Core,Shared_Core,Shared_Core,Convergent,0.10809813311767799,0.0026055914837749337,0.0026055914837749337,,0,0.04755836803345911,0.052257280747489955,0.03656480637463656
44,44,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.04307816757367153,0.0026673892302099046,0.0026673892302099046,,0,0.05118250554447533,0.04734323928181929,0.04656661046160893
45,45,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.06311751922872841,0.002626048020640455,0.002626048020640455,,0,0.04872362974590512,0.04536075375619389,0.04051557559181344
46,46,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.061307436782367955,0.002569175861757506,0.002569175861757506,,0,0.07587201672015331,0.06936631632584428,0.06484643934351025
47,47,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.059198715274104655,0.0025563300202318486,0.0025563300202318486,,0,0.055956134472482946,0.04926831980861684,0.05013437477702444
48,48,1,Condition_Biased,Biased_Divergent,Divergent,Convergent,0.11199697052104028,0.0025822267757093682,0.0025822267757093682,,0,0.07118847975707664,0.0878952153263584,0.0691917902536013
49,49,1,Condition_Biased,Biased_Random,Random,Random,0.10690031520220104,0.002771871703261017,0.002771871703261017,,0,0.12539998952659867,0.10672437730762693,0.14384650402899946
50,50,1,Condition_Biased,Biased_Random,Random,Random,0.12260330162647913,0.003073783429528521,0.003073783429528521,0.0,1,0.11467086479708713,0.11946998717923643,0.14978817105293274
51,51,1,Condition_Biased,Biased_Random,Random,Random,0.14804379323027644,0.003036310473756384,0.003036310473756384,-0.024242424242424232,1,0.10550725568206079,0.10893038279874614,0.14448148739157302
52,52,1,Condition_Biased,Biased_Random,Random,Random,0.1272090264583785,0.0029539472067842383,0.0029539472067842383,-0.006060606060605989,1,0.054827111492794685,0.05257349108498563,0.06935390737472158
53,53,1,Condition_Biased,Biased_Convergent,Convergent,Divergent,0.03365940199412686,0.002624886377911911,0.002624886377911911,,0,0.03019067314728814,0.02883165325845035,0.027617256483063103
54,54,3,Shared_Core,Shared_Core,Shared_Core,Divergent,0.05015843266062558,0.0027058863145568678,0.0027058863145568678,,0,0.040728598147109954,0.03462100174849626,0.03905495855689162
55,55,1,Condition_Biased,Biased_Convergent,Convergent,Convergent,0.16091480741327502,0.0027516524711079997,0.0027516524711079997,,0,0.03790917969559149,0.04376676945735222,0.0253582503420837
56,56,3,Shared_Core,Shared_Core,Shared_Core,Convergent,0.2665133285312599,0.002726059167996306,0.002726059167996306,,0,0.0760928963421173,0.1079844527104229,0.0489830187775872
