Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,6643,0.11004534201401996,-0.008798460105113527,0.13990215820005716
1,Divergent,2,10-20%,0.1,0.2,6643,0.15641499906219697,0.13990467655544764,0.17058713817617122
1,Divergent,3,20-30%,0.2,0.3,6643,0.1824430077120523,0.1705875539851659,0.1935701196096896
1,Divergent,4,30-40%,0.3,0.4,6643,0.20354935930962223,0.19357884268972975,0.21320852967973405
1,Divergent,5,40-50%,0.4,0.5,6643,0.22292796490512312,0.21321439978766718,0.23243936679484745
1,Divergent,6,50-60%,0.5,0.6,6643,0.24228478188906644,0.2324419635545654,0.2524672670183998
1,Divergent,7,60-70%,0.6,0.7,6643,0.2632051860004668,0.25246912116443054,0.27416932446841363
1,Divergent,8,70-80%,0.7,0.8,6643,0.2868892529558481,0.2741703854689097,0.30101245008146627
1,Divergent,9,80-90%,0.8,0.9,6643,0.3184368947816371,0.3010203650014819,0.339648620265371
1,Divergent,10,90-100%,0.9,1.0,6643,0.4088454474847075,0.33964942623545663,0.9533872552470437
2,Convergent,1,0-10%,0.0,0.1,6643,0.11297030090775195,-0.009300768882046576,0.14164625271338638
2,Convergent,2,10-20%,0.1,0.2,6643,0.1573306350775792,0.14165192167850352,0.17088856277349085
2,Convergent,3,20-30%,0.2,0.3,6643,0.18285707511028435,0.1708982352085942,0.1939068945613195
2,Convergent,4,30-40%,0.3,0.4,6643,0.20444575320965117,0.1939103768618128,0.2145304013325912
2,Convergent,5,40-50%,0.4,0.5,6643,0.22451682007797807,0.21453073360286556,0.23462604752305788
2,Convergent,6,50-60%,0.5,0.6,6643,0.24482224494074262,0.23463210073014118,0.2554823968200652
2,Convergent,7,60-70%,0.6,0.7,6643,0.2666046371234895,0.2554842717850197,0.27794323547112937
2,Convergent,8,70-80%,0.7,0.8,6643,0.2907718885435076,0.2779440182347742,0.30515493291821016
2,Convergent,9,80-90%,0.8,0.9,6643,0.323517802839891,0.3051646500555036,0.3449398740275527
2,Convergent,10,90-100%,0.9,1.0,6643,0.4128069914889452,0.3449562127886147,0.9534991706647832
3,Random,1,0-10%,0.0,0.1,6643,0.09743022712143405,-0.04016451245245073,0.12875147764067044
3,Random,2,10-20%,0.1,0.2,6643,0.14512399652650174,0.12875220180870744,0.15950482989987846
3,Random,3,20-30%,0.2,0.3,6643,0.17120380634050586,0.159505279200515,0.18205906416309037
3,Random,4,30-40%,0.3,0.4,6643,0.19237059870521864,0.18206464205543194,0.2022408060953095
3,Random,5,40-50%,0.4,0.5,6643,0.2119573480002565,0.2022423736756614,0.22161130926358796
3,Random,6,50-60%,0.5,0.6,6643,0.23170658917620574,0.22161144358767026,0.24176557764897588
3,Random,7,60-70%,0.6,0.7,6643,0.25263571571519167,0.24176884139037333,0.2641405478737539
3,Random,8,70-80%,0.7,0.8,6643,0.2773684592377905,0.2641453050320251,0.2917029598546721
3,Random,9,80-90%,0.8,0.9,6643,0.3106670447382115,0.29170687090023895,0.33376965633129774
3,Random,10,90-100%,0.9,1.0,6643,0.4040420911219902,0.3337778020723687,0.961709958246711
