Class_ID,Class_Name,Decile_Index,Mean_Correlation,Noise_Mean_Corr,Corr_Delta_vs_D1,Noise_Delta_vs_D1
1,Divergent,1,0.11004534201401996,-0.16386903574969086,0.0,0.0
1,Divergent,2,0.15641499906219697,-0.050429932824941015,0.04636965704817701,0.11343910292474985
1,Divergent,3,0.1824430077120523,0.015011954972093584,0.07239766569803234,0.17888099072178446
1,Divergent,4,0.20354935930962223,0.0692878410918796,0.09350401729560227,0.23315687684157047
1,Divergent,5,0.22292796490512312,0.12065879950652979,0.11288262289110317,0.28452783525622066
1,Divergent,6,0.24228478188906644,0.17089705932640556,0.1322394398750465,0.33476609507609645
1,Divergent,7,0.2632051860004668,0.22243081115025484,0.15315984398644683,0.3862998468999457
1,Divergent,8,0.2868892529558481,0.27967110811905344,0.17684391094182816,0.4435401438687443
1,Divergent,9,0.3184368947816371,0.35034458896288234,0.20839155276761717,0.5142136247125733
1,Divergent,10,0.4088454474847075,0.5083087397620493,0.2988001054706876,0.6721777755117402
2,Convergent,1,0.11297030090775195,-0.16730390073480475,0.0,0.0
2,Convergent,2,0.1573306350775792,-0.035116980354282255,0.04436033416982724,0.1321869203805225
2,Convergent,3,0.18285707511028435,0.03556142179849527,0.06988677420253239,0.20286532253330003
2,Convergent,4,0.20444575320965117,0.09194170054280854,0.09147545230189921,0.2592456012776133
2,Convergent,5,0.22451682007797807,0.1423069521049342,0.11154651917022612,0.30961085283973894
2,Convergent,6,0.24482224494074262,0.1927537796801251,0.13185194403299066,0.36005768041492986
2,Convergent,7,0.2666046371234895,0.24390046810627444,0.15363433621573752,0.4112043688410792
2,Convergent,8,0.2907718885435076,0.29923882470766794,0.17780158763575565,0.46654272544247266
2,Convergent,9,0.323517802839891,0.3677287333572223,0.21054750193213906,0.5350326340920271
2,Convergent,10,0.4128069914889452,0.525086358384173,0.2998366905811932,0.6923902591189777
3,Random,1,0.09743022712143405,-0.1973930344157601,0.0,0.0
3,Random,2,0.14512399652650174,-0.06736384353800355,0.047693769405067685,0.13002919087775655
3,Random,3,0.17120380634050586,0.004851514590498417,0.07377357921907181,0.20224454900625852
3,Random,4,0.19237059870521864,0.06535235290081184,0.09494037158378459,0.26274538731657193
3,Random,5,0.2119573480002565,0.12280046402722304,0.11452712087882246,0.3201934984429831
3,Random,6,0.23170658917620574,0.18058981477177238,0.13427636205477167,0.37798284918753244
3,Random,7,0.25263571571519167,0.24008135655269106,0.1552054885937576,0.43747439096845114
3,Random,8,0.2773684592377905,0.30517089128031794,0.17993823211635646,0.502563925696078
3,Random,9,0.3106670447382115,0.3863500859415937,0.21323681761677743,0.5837431203573538
3,Random,10,0.4040420911219902,0.5562383609938415,0.3066118640005561,0.7536313954096016
