component_idx,selection_frequency,mean_abs_coef
8,0.96,0.06688366215424177
3,0.84,0.05523571518303461
18,0.8,0.053673085905654505
21,0.76,0.05838788301888862
17,0.68,0.04936349091199122
1,0.64,0.08555645035924893
26,0.52,0.0392431356542961
2,0.4,0.04205311039520195
31,0.4,0.04070257202011771
24,0.36,0.05082683282142386
38,0.36,0.039185221482472284
12,0.36,0.03586102646694239
6,0.28,0.046057827864994454
37,0.28,0.04178441636959044
5,0.28,0.03828780678257071
7,0.24,0.0400789491554684
16,0.24,0.03591051802268295
28,0.2,0.03851032466402383
22,0.2,0.03823648341687008
36,0.2,0.03441132256444103
15,0.2,0.02821056743229314
13,0.16,0.03213902815176962
19,0.16,0.03011903732405057
29,0.12,0.033839662600558845
33,0.12,0.024914282749131676
25,0.08,0.02928846269426116
4,0.08,0.024055789937037924
32,0.08,0.019218345377635216
39,0.0,0.023059912822801322
23,0.0,0.021680372618637908
35,0.0,0.021145394888594106
30,0.0,0.0203409440105865
11,0.0,0.01960916861712302
20,0.0,0.01774757954922932
27,0.0,0.01741217871244056
0,0.0,0.01701135576766433
10,0.0,0.016634635549650556
14,0.0,0.016008257294054414
34,0.0,0.014708125657368967
9,0.0,0.012539091219382266
