strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,6643,0.08688806548068492,1.307964255316648e-05,0.047769303617358
2,6643,0.09418251147539994,1.4177707583230459e-05,0.08756747735586343
3,6643,0.09605002269560564,1.4458832258859798e-05,0.11083425195829288
4,6643,0.09772015832249735,1.4710245118545439e-05,0.13060021840294556
5,6643,0.09944080233545098,1.4969261227675896e-05,0.14919539386097808
6,6643,0.10064996385806343,1.5151281628490657e-05,0.16845546425016417
7,6643,0.10256885882619984,1.5440141325635986e-05,0.18954555081299684
8,6643,0.10348706006697887,1.557836219584207e-05,0.21399790969776455
9,6643,0.10512011708954316,1.582419345017961e-05,0.24748052458478897
10,6643,0.11389243984952518,1.714472976810555e-05,0.3462549984513863
