Class_ID,Class_Name,Network_Type,Strong_Threshold,Weak_Threshold,Edge_Mean_Corr,Edge_Min_Corr,Edge_Max_Corr,efficiency,modularity,local_efficiency,avg_clustering,density,n_edges
1,Divergent,strong_threshold,0.35,0.1,0.4228430005480625,0.3500136334546963,0.9533872552470437,0.3913492899795814,0.32004527338974864,0.7699589427075827,0.6329761646090324,0.08207135330423002,5452
1,Divergent,weak_threshold,0.35,0.1,0.07846022733029018,-0.008798460105113527,0.0999908294233747,0.2732462742736113,0.24793650758585953,0.11764572013883604,0.07159080652786007,0.02864669576998344,1903
2,Convergent,strong_threshold,0.35,0.1,0.4197535532388253,0.3500073942567885,0.9534991706647832,0.3980144154607214,0.24431780066708217,0.7836927877013815,0.6469094448089199,0.09039590546439862,6005
2,Convergent,weak_threshold,0.35,0.1,0.07690627886669886,-0.009300768882046576,0.09998885118292218,0.23849139445018355,0.253288885006939,0.058475763938796776,0.03483648223317604,0.024160770736113203,1605
3,Random,strong_threshold,0.35,0.1,0.4257068615876383,0.35000413023487664,0.961709958246711,0.38345051719330103,0.2981725855948031,0.7755980366749994,0.64749808738487,0.07430377841336745,4936
3,Random,weak_threshold,0.35,0.1,0.07321019623141724,-0.04016451245245073,0.09998590960971265,0.3787207085153971,0.1998641678775334,0.23451339213782704,0.12739199285494746,0.043308746048472076,2877
