repeat_idx,accuracy_mean
0,0.3636363636363636
1,0.3090909090909091
2,0.34545454545454546
3,0.3151515151515151
4,0.28484848484848485
5,0.34545454545454546
6,0.3151515151515151
7,0.2727272727272727
8,0.27878787878787875
9,0.33939393939393936
10,0.33939393939393936
11,0.33939393939393936
12,0.3151515151515151
13,0.28484848484848485
14,0.32727272727272727
15,0.33939393939393936
16,0.3636363636363636
17,0.38181818181818183
18,0.40606060606060607
19,0.2424242424242424
20,0.2909090909090909
21,0.38181818181818183
22,0.39393939393939387
23,0.27878787878787875
24,0.3636363636363636
25,0.3696969696969697
26,0.30303030303030304
27,0.40606060606060607
28,0.29696969696969694
29,0.3575757575757576
