Class_ID,n_nodes,n_edges,density,mean_degree,largest_component,avg_clustering,global_efficiency,local_efficiency,transitivity,efficiency,modularity,betweenness_mean
1,365,3321,0.049992473280144514,18.197260273972603,310,0.620578329264686,0.3047963843071663,0.734494007954443,0.44900581346364477,0.3047963843071663,0.37978569487591896,0.003419038412811763
2,365,3321,0.049992473280144514,18.197260273972603,293,0.6107428004857346,0.28289475853563806,0.7281748199261862,0.4465353946744871,0.28289475853563806,0.3722108295725802,0.0028685303903236655
3,365,3321,0.049992473280144514,18.197260273972603,309,0.6452372503640756,0.3028096886805473,0.7536081952833756,0.45768910938535046,0.3028096886805473,0.3432655658819293,0.003394198163812111
